sample,Hash,nReads
LL07B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,132
TR07B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,96
PO07C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,77
LL07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,79
TW07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,195
PO07A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,99
TR07A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,125
TW08B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,5
LL07A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,89
PO07A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,40
SA07A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,59
SA07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,56
SA07C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,77
TR07B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,119
TW08A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,2
TR07C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,126
TW07C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,105
SA07B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,77
TW07B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,158
TR07B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,177
TR07A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,126
TW07C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,91
PO08A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,20
TR07C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,76
PO07B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,55
SA07A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,79
SA07A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,67
LL07A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,140
LL07B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,64
PO07B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,85
SA07B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,43
PO08B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,7
LL07C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,102
PO07B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,53
PO07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,125
PO07C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,41
PO08C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,7
PO08A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,41
PO08B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,8
LL07B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,79
PO07A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,43
TW07A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,191
TW07A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,81
TW07A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,129
TR07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,171
TW07B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,101
SA07C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,62
LL07C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,115
LL07A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,88
SA07B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,71
TR07A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,80
TW07B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,153
LL07B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,57
TR07B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,71
SA08A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,7
PO07C.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,137
LL07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,54
TW07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,114
PO07A.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,75
TR07A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,85
PO08B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,7
LL07A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,78
PO07A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,49
LL08B.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,4
SA07A.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,77
SA07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,140
SA07C.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,140
TR07B.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,72
TR07C.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,86
TW07C.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,52
SA07B.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,145
TW07B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,73
TR07B.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,112
TR07A.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,65
TW07C.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,52
TR07C.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,42
PO07B.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,64
SA07A.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,153
SA07A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,114
LL07A.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,76
LL07B.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,49
TW08C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,3
PO07B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,87
SA07B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,121
PO08B.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,13
LL07C.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,62
PO07B.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,53
PO07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,144
PO07C.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,43
PO08A.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,27
PO08B.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,15
LL07B.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,58
PO07A.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,54
TW07A.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,87
